hostname,pid,name,md5sum,signatureexists,signatureverified,description,certificatesubject,certificateissuer
ET316GFN,2340,C:\ProgramData\Microsoft\Windows\Caches\cversions.2.db,10a222fde916c71c745e6c09d131a160,true,false,The form specified for the subject is not one supported or known by the specified trust provider.,,
ET316GFN,6224,C:\Windows\System32\slc.dll,b92bc08997701e2269a18305f22c363d,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ET316GFN,2340,C:\Windows\System32\mpr.dll,c22ffc9ec1f972d7b7cde4664a6888a1,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ET316GFN,56,C:\Windows\System32\dhcpcsvc6.dll,d66024efb4ce1e15dfee2a7f26cc8224,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ET316GFN,4628,C:\Windows\System32\sechost.dll,a9420e8c657899dc5928b4ddbb7e57b5,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ET316GFN,2340,C:\Windows\System32\wercplsupport.dll,0bc39e5fca3a0fadf6f91e929ed260db,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ET316GFN,2464,C:\Windows\System32\drt.dll,3005d20f36bb8b3bfbf18e1ef3a62491,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ET316GFN,3640,C:\Windows\System32\p2psvc.dll,7871fce8e19067498d09f59e6269d14f,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ET316GFN,6460,C:\Windows\System32\ssdpapi.dll,0fce1977673c2f5c85a6435bb70c1ec7,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ET316GFN,2340,C:\Windows\System32\oleaccrc.dll,4db11a4fc3d6ba255ab538fe33721a99,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ET316GFN,2340,C:\Windows\System32\msiltcfg.dll,a4ca0ca639e93df88656453eb2266587,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
