hostname,fullpath,filepath,drive,filename,fileextension,username
NS0007VZI,c:\Windows\System32\drivers\serial.sys,Windows\System32\drivers,c,serial.sys,sys,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\microsoft.net\framework\v2.0.50727\mscorsvw.exe,Windows\microsoft.net\framework\v2.0.50727,c,mscorsvw.exe,exe,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\synchostps.dll,Windows\System32,c,synchostps.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\evr.dll,Windows\System32,c,evr.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\kernelceip.dll,Windows\System32,c,kernelceip.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\MFPlay.dll,Windows\System32,c,MFPlay.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\SysWOW64\wmvdspa.dll,Windows\SysWOW64,c,wmvdspa.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\mscms.dll,Windows\System32,c,mscms.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\naturallanguage6.dll,Windows\System32,c,naturallanguage6.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\SysWOW64\msyuv.dll,Windows\SysWOW64,c,msyuv.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\dmusic.dll,Windows\System32,c,dmusic.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\hidserv.dll,Windows\System32,c,hidserv.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\IME\IMEJP10\IMJPAPI.DLL,Windows\System32\IME\IMEJP10,c,IMJPAPI.DLL,DLL,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\vbscript.dll,Windows\System32,c,vbscript.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\biocpl.dll,Windows\System32,c,biocpl.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,C:\Windows\SysWOW64\dplayx.dll,Windows\SysWOW64,C,dplayx.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\iasrecst.dll,Windows\System32,c,iasrecst.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\IME\imekr8\imkrapi.dll,Windows\System32\IME\imekr8,c,imkrapi.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\blb_ps.dll,Windows\System32,c,blb_ps.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\wbem\WMIPICMP.dll,Windows\System32\wbem,c,WMIPICMP.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\IdListen.dll,Windows\System32,c,IdListen.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\fvecpl.dll,Windows\System32,c,fvecpl.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\IME\IMESC5\ImSCCfg.DLL,Windows\System32\IME\IMESC5,c,ImSCCfg.DLL,DLL,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\sysmon.ocx,Windows\System32,c,sysmon.ocx,ocx,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\SysWOW64\fdBth.dll,Windows\SysWOW64,c,fdBth.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\prnfldr.dll,Windows\System32,c,prnfldr.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\mspbda.dll,Windows\System32,c,mspbda.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\SysWOW64\iedkcs32.dll,Windows\SysWOW64,c,iedkcs32.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\avifil32.dll,Windows\System32,c,avifil32.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\clbcatq.dll,Windows\System32,c,clbcatq.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\SysWOW64\certcli.dll,Windows\SysWOW64,c,certcli.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\drivers\isapnp.sys,Windows\System32\drivers,c,isapnp.sys,sys,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\photometadatahandler.dll,Windows\System32,c,photometadatahandler.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\fdPnp.dll,Windows\System32,c,fdPnp.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\drivers\RDPREFMP.sys,Windows\System32\drivers,c,RDPREFMP.sys,sys,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\mscandui.dll,Windows\System32,c,mscandui.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\dot3svc.dll,Windows\System32,c,dot3svc.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\wcspluginservice.dll,Windows\System32,c,wcspluginservice.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\dssec.dll,Windows\System32,c,dssec.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\wmp.dll,Windows\System32,c,wmp.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\SysWOW64\wmdrmsdk.dll,Windows\SysWOW64,c,wmdrmsdk.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\drivers\usbccgp.sys,Windows\System32\drivers,c,usbccgp.sys,sys,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\devicepairingproxy.dll,Windows\System32,c,devicepairingproxy.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\rdpcorekmts.dll,Windows\System32,c,rdpcorekmts.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\swprv.dll,Windows\System32,c,swprv.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\SysWOW64\MFWMAAEC.DLL,Windows\SysWOW64,c,MFWMAAEC.DLL,DLL,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\stobject.dll,Windows\System32,c,stobject.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\dot3gpui.dll,Windows\System32,c,dot3gpui.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\program files (x86)\panda security\panda security protection\PSUAMain.exe,program files (x86)\panda security\panda security protection,c,PSUAMain.exe,exe,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\SysWOW64\qasf.dll,Windows\SysWOW64,c,qasf.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\appmgr.dll,Windows\System32,c,appmgr.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\SysWOW64\Display.dll,Windows\SysWOW64,c,Display.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\certcredprovider.dll,Windows\System32,c,certcredprovider.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\wbem\mofd.dll,Windows\System32\wbem,c,mofd.dll,dll,NT AUTHORITY\SYSTEM
