hostname,fullpath,filepath,drive,filename,fileextension,username
NC546YHJ,c:\Windows\SysWOW64\ipsmsnap.dll,Windows\SysWOW64,c,ipsmsnap.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\SysWOW64\dot3gpui.dll,Windows\SysWOW64,c,dot3gpui.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\svsvc.dll,Windows\System32,c,svsvc.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\coremessaging.dll,Windows\System32,c,coremessaging.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\activationclient.dll,Windows\System32,c,activationclient.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\windows.web.dll,Windows\System32,c,windows.web.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\drivers\lsi_sss.sys,Windows\System32\drivers,c,lsi_sss.sys,sys,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\RASMM.dll,Windows\System32,c,RASMM.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\sensorservice.dll,Windows\System32,c,sensorservice.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\eapa3hst.dll,Windows\System32,c,eapa3hst.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\shacct.dll,Windows\System32,c,shacct.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\SHCore.dll,Windows\System32,c,SHCore.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\wbem\wmitimep.dll,Windows\System32\wbem,c,wmitimep.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\msdtcuiu.dll,Windows\System32,c,msdtcuiu.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,C:\Windows\System32\difxapi.dll,Windows\System32,C,difxapi.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\wbem\esscli.dll,Windows\System32\wbem,c,esscli.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\notificationcontroller.dll,Windows\System32,c,notificationcontroller.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\drivers\SerCx.sys,Windows\System32\drivers,c,SerCx.sys,sys,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\remoteaudioendpoint.dll,Windows\System32,c,remoteaudioendpoint.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\kpssvc.dll,Windows\System32,c,kpssvc.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\mfc42u.dll,Windows\System32,c,mfc42u.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\SysWOW64\wmvdspa.dll,Windows\SysWOW64,c,wmvdspa.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\msctf.dll,Windows\System32,c,msctf.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,C:\Windows\System32\credssp.dll,Windows\System32,C,credssp.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Program Files\McAfee\MSC\McLogShm.dll,Program Files\McAfee\MSC,c,McLogShm.dll,dll,BUILTIN\Administrators
NC546YHJ,c:\Windows\System32\comuid.dll,Windows\System32,c,comuid.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\SysWOW64\IME\IMEJP\IMJPLMP.DLL,Windows\SysWOW64\IME\IMEJP,c,IMJPLMP.DLL,DLL,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\delegatorprovider.dll,Windows\System32,c,delegatorprovider.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\mf.dll,Windows\System32,c,mf.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\wlidprov.dll,Windows\System32,c,wlidprov.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\rasgcw.dll,Windows\System32,c,rasgcw.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\inputmethod\SHARED\ChxEM.DLL,Windows\System32\inputmethod\SHARED,c,ChxEM.DLL,DLL,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\drivers\PEAuth.sys,Windows\System32\drivers,c,PEAuth.sys,sys,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\SysWOW64\comrepl.dll,Windows\SysWOW64,c,comrepl.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\SysWOW64\windows.devices.custom.ps.dll,Windows\SysWOW64,c,windows.devices.custom.ps.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\drivers\storqosflt.sys,Windows\System32\drivers,c,storqosflt.sys,sys,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\mccsengineshared.dll,Windows\System32,c,mccsengineshared.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\SysWOW64\cca.dll,Windows\SysWOW64,c,cca.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\windows.applicationmodel.lockscreen.dll,Windows\System32,c,windows.applicationmodel.lockscreen.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\SysWOW64\MFWMAAEC.DLL,Windows\SysWOW64,c,MFWMAAEC.DLL,DLL,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\scrdenrl.dll,Windows\System32,c,scrdenrl.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\SysWOW64\pcshellcommonproxystub.dll,Windows\SysWOW64,c,pcshellcommonproxystub.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\wlangpui.dll,Windows\System32,c,wlangpui.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\SysWOW64\setup\rasmigplugin.dll,Windows\SysWOW64\setup,c,rasmigplugin.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Program Files\Common Files\McAfee\MSGSDK\UsrEnvSnapshot.dll,Program Files\Common Files\McAfee\MSGSDK,c,UsrEnvSnapshot.dll,dll,BUILTIN\Administrators
NC546YHJ,c:\Windows\System32\windows.media.faceanalysis.dll,Windows\System32,c,windows.media.faceanalysis.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\SysWOW64\windows.cloudstore.schema.desktopshell.dll,Windows\SysWOW64,c,windows.cloudstore.schema.desktopshell.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\setnetworklocationflyout.dll,Windows\System32,c,setnetworklocationflyout.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\wdc.dll,Windows\System32,c,wdc.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\MSDvbNP.ax,Windows\System32,c,MSDvbNP.ax,ax,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\psisrndr.ax,Windows\System32,c,psisrndr.ax,ax,NT AUTHORITY\SYSTEM
